anio_mes,municipio_residencia,grupo_diagnostico,genero_paciente,regimen_atencion,rango_edad,total_casos
2024-01,DOSQUEBRADAS,Encefalopatia Toxica,MASCULINO,SUBSIDIADO,18-28,1
2024-01,DOSQUEBRADAS,Encefalopatia Toxica,MASCULINO,SUBSIDIADO,29-59,1
2024-01,DOSQUEBRADAS,Enfermedad De Parkinson,FEMENINO,SUBSIDIADO,60+,1
2024-01,DOSQUEBRADAS,Enfermedad De Parkinson,MASCULINO,CONTRIBUTIVO,60+,1
2024-01,DOSQUEBRADAS,Epilepsia,FEMENINO,SUBSIDIADO,29-59,1
2024-01,DOSQUEBRADAS,Epilepsia,MASCULINO,SUBSIDIADO,18-28,1
2024-01,DOSQUEBRADAS,Episodio Depresivo,FEMENINO,CONTRIBUTIVO,60+,1
2024-01,DOSQUEBRADAS,Episodio Depresivo,FEMENINO,SUBSIDIADO,12-17,1
2024-01,DOSQUEBRADAS,Episodio Depresivo,FEMENINO,SUBSIDIADO,18-28,1
2024-01,DOSQUEBRADAS,Episodio Depresivo,FEMENINO,SUBSIDIADO,29-59,8
2024-01,DOSQUEBRADAS,Episodio Depresivo,FEMENINO,SUBSIDIADO,60+,2
2024-01,DOSQUEBRADAS,Episodio Depresivo,MASCULINO,SUBSIDIADO,12-17,1
2024-01,DOSQUEBRADAS,Episodio Depresivo,MASCULINO,SUBSIDIADO,18-28,2
2024-01,DOSQUEBRADAS,Esquizofrenia,FEMENINO,CONTRIBUTIVO,60+,1
2024-01,DOSQUEBRADAS,Esquizofrenia,FEMENINO,SUBSIDIADO,18-28,1
2024-01,DOSQUEBRADAS,Esquizofrenia,FEMENINO,SUBSIDIADO,29-59,5
2024-01,DOSQUEBRADAS,Esquizofrenia,FEMENINO,SUBSIDIADO,60+,2
2024-01,DOSQUEBRADAS,Esquizofrenia,MASCULINO,CONTRIBUTIVO,18-28,1
2024-01,DOSQUEBRADAS,Esquizofrenia,MASCULINO,CONTRIBUTIVO,29-59,1
2024-01,DOSQUEBRADAS,Esquizofrenia,MASCULINO,OTRO,18-28,1
2024-01,DOSQUEBRADAS,Esquizofrenia,MASCULINO,SUBSIDIADO,18-28,8
2024-01,DOSQUEBRADAS,Esquizofrenia,MASCULINO,SUBSIDIADO,29-59,14
2024-01,DOSQUEBRADAS,Esquizofrenia,MASCULINO,SUBSIDIADO,60+,1
2024-01,DOSQUEBRADAS,Examen De Pesquisa Especial Para Otras Enfermedades Y Trastornos,MASCULINO,SUBSIDIADO,18-28,1
2024-01,DOSQUEBRADAS,Examen General E Investigacion De Personas Sin Quejas O Sin Diagnostico Informado,MASCULINO,SUBSIDIADO,12-17,2
2024-01,DOSQUEBRADAS,Examen General E Investigacion De Personas Sin Quejas O Sin Diagnostico Informado,MASCULINO,SUBSIDIADO,29-59,1
2024-01,DOSQUEBRADAS,Hipertension Esencial (Primaria),MASCULINO,SUBSIDIADO,29-59,2
2024-01,DOSQUEBRADAS,Hipertension Esencial (Primaria),MASCULINO,SUBSIDIADO,60+,1
2024-01,DOSQUEBRADAS,Historia Personal De Algunas Otras Enfermedades,FEMENINO,SUBSIDIADO,12-17,1
2024-01,DOSQUEBRADAS,Historia Personal De Algunas Otras Enfermedades,FEMENINO,SUBSIDIADO,29-59,1
2024-01,DOSQUEBRADAS,Historia Personal De Algunas Otras Enfermedades,MASCULINO,SUBSIDIADO,29-59,1
2024-01,DOSQUEBRADAS,Migrana,MASCULINO,SUBSIDIADO,60+,1
2024-01,DOSQUEBRADAS,Obesidad,FEMENINO,SUBSIDIADO,29-59,1
2024-01,DOSQUEBRADAS,Obesidad,MASCULINO,SUBSIDIADO,29-59,1
2024-01,DOSQUEBRADAS,Otros Sintomas Y Signos Que Involucran La Funcion Cognoscitiva Y La Conciencia,FEMENINO,SUBSIDIADO,60+,1
